Dataset,Indicators,Description,Description Simplified,Geographic Coverage,Format,Spatial Resolution,Spatial Resolution (Standard),Temporal Resolution,Temporal Extent,Latency,Source/Link,Project,Strengths,Limitations,Data Visualization,Intended Use,Tab Name Indicator,Indicators                     (Select from drop-down list),sde_link
ECCO (Estimating the Circulation and Climate of the Ocean) Global Mean Sea Level - Monthly Mean (Version 4 Release 4),"Urban Flooding,Climate Change","This dataset provides monthly-averaged global mean sea level from the ECCO Version 4 Release 4 (V4r4) ocean and sea-ice state estimate. Estimating the Circulation and Climate of the Ocean (ECCO) ocean and sea-ice state estimates are dynamically and kinematically-consistent reconstructions of the three-dimensional time-evolving ocean, sea-ice, and surface atmospheric states. ECCO V4r4 is a free-running solution of the 1-degree global configuration of the MIT general circulation model (MITgcm) that has been fit to observations in a least-squares sense.",The ECCO (Estimating the Circulation and Climate of the Ocean) Global Mean Sea Level - Monthly Mean dataset provides monthly-averaged global mean sea level from the ECCO (Estimating the Circulation and Climate of the Ocean) Version 4 Release 4 (V4r4) ocean and sea-ice state estimate. The dataset reconstructs average sea level for urban flooding and coastal vulnerability research.,Global,netCDF-4,0.5 degrees,50 kilometers,Monthly - < Annual,1992-01-01 to 2018-01-01,,https://dx.doi.org/10.5067/ECTSM-MSL44,ECCO - Estimating the Circulation and Climate of the Ocean,20-year temporal extent,Lacks recent data,,Path C,Urban Flooding,Climate Change,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1991543742-POCLOUD&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
ECOSTRESS Cloud Mask Daily L2 Global 70m V001,Extreme Heat,"The ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station (ECOSTRESS) mission measures the temperature of plants to better understand how much water plants need and how they respond to stress. The ECO2CLD Version 1 data product provides a cloud mask that can be used to determine cloud cover for the ECO1BRAD, ECO2LSTE, ECO3ETPTJPL, ECO4ESIPTJPL, and ECO4WUE data products. The ECOSTRESS Level 2 cloud product is derived using the five calibrated thermal bands in a multispectral cloud-conservative thresholding approach.","The ECO2CLD Version 1 data product provides a cloud mask that can be used to determine cloud cover for the ECO1BRAD, ECO2LSTE, ECO3ETPTJPL, ECO4ESIPTJPL, and ECO4WUE data products.",Global,HDF5,70 m,70 meters,,2018-07-09 to Present,,https://dx.doi.org/10.5067/ECOSTRESS/ECO2CLD.001,ECOSTRESS - ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station,Recent data available,Latency unclear,,Path B,Extreme Heat,Extreme Heat,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1534730833-LPDAAC_ECS&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
FLDAS - Famine Early Warning Systems Network (FEWS NET) Land Data Assimilation System,"Food Availability,Climate Change,Water Availability","The FLDAS Global model (McNally et al. 2017) is a custom instance of the NASA Land Information System (LIS; http://lis.gsfc.nasa.gov/) that has been adapted to work with domains, data streams, and monitoring and forecast requirements associated with food security assessment in data-sparse, developing country settings. Adopting LIS allows FEWS NET to leverage existing land surface models and generate ensembles of soil moisture, ET, and other variables based on multiple meteorological inputs or land surface models. The goal of the FLDAS project is to achieve more effective use of limited available hydroclimatic observations and is designed to be adopted for routine use for FEWS NET decision support.",The Famine Early Warning Systems Network (FEWS NET) Land Data Assimilation System (FLDAS) dataset is a custom model incorporating various data and monitoring systems. These data may aid in food insecurity research.,Global,"netCDF-3, KMZ, GeoTIFF",Varies,Varies,,Varies,,https://ldas.gsfc.nasa.gov/fldas,FEWS NET - FEWS NET Land Data Assimilation System,Multiple datasets available,,visualization available,Path B,Climate Change,Food Availability,
Famine Early Warning Systems Network,"Food Availability,Climate Change","FEWS NET, the Famine Early Warning Systems Network, is a leading provider of early warning and analysis on acute food insecurity around the world. Created in 1985 by the United States Agency for International Development (USAID) in response to devastating famines in East and West Africa, FEWS NET provides unbiased, evidence-based analysis to governments and relief agencies who plan for and respond to humanitarian crises. FEWS NET analyses support resilience and development programming as well. FEWS NET analysts and specialists work with scientists, government ministries, international agencies, and NGOs to track and publicly report on conditions in the world’s most food-insecure countries.",The Famine Early Warning Systems Network (FEWS NET) provides early warning and analysis on acute food insecurity around the world. These data may be useful in food insecuriy and response research.,Global,Shapefile,Varies,Varies,,Varies,,https://fews.net/,,Multiple datasets available,,visualization available,Path A,Climate Change,Food Availability,
GEOS-5 Weather Maps,Extreme Heat,"Within the viewer, select the parameter or field of interest, the area of interest, and then indicate the forecast time and the forecast lead hour. Animate shows the forecast for the given parameter over the time period indicated. Note that it may take time to load the images to animate. For those variables near the surface, make sure to select 850 as your level.","The GEOS-5 Weather Maps provides a viewer, allowing users to select a parameter or field of interest, area of interest, and a forcast time. Users can then produce an animation of the selected weather parameters.",North America,,Varies,Varies,Varies,Varies,,https://fluid.nccs.nasa.gov/wxmaps/,,Multiple datasets available,,dataset is a viewer,Path A,Extreme Heat,Extreme Heat,
"Geocoded Disasters (GDIS) Dataset, v1 (1960 – 2018)","Climate Change,Urban Flooding,Human Dimensions","The Geocoded Disasters (GDIS) Dataset is a geocoded extension of a selection of natural disasters from the Centre for Research on the Epidemiology of Disasters' (CRED) Emergency Events Database (EM-DAT). The data set encompasses 39,953 locations for 9,924 disasters that occurred worldwide in the years 1960 to 2018. All floods, storms (typhoons, monsoons etc.), earthquakes, landslides, droughts, volcanic activity and extreme temperatures that were recorded in EM-DAT during these 58 years and could be geocoded are included in the data set. The highest spatial resolution in the data set corresponds to administrative level 3 (usually district/commune/village) in the Global Administrative Areas database (GADM, 2018). The vast majority of the locations are administrative level 1 (typically state/province/region).",The Geocoded Disasters (GDIS) Dataset includes a selection of natural disasters from the Centre for Research on the Epidemiology of Disasters (CRED) Emergency Events Database (EM_DAT). This dataset may aid disaster preparation and recovery research.,Global,"Geopackage, Geodatabase, CSV, RData",,,,1960-01-01 to 2018-12-31,,https://doi.org/10.7927/zz3b-8y61,PEND - Natural Disasters,Significant temporal extent,Lacks recent data,,Path B,Climate Change,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2022273992-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Georeferenced U.S. County-Level Population Projections, Total and by Sex, Race and Age, Based on the SSPs, v1 (2020 – 2100)","Food Availability,Human Dimensions","The Georeferenced U.S. County-Level Population Projections, Total and by Sex, Race and Age, Based on the SSPs, 2020-2100 consists of county-level population projection scenarios of total population, and by age, sex, and race in five-year intervals for all U.S. counties for the period 2020 - 2100. These data have numerous potential uses and can serve as inputs for addressing questions involving sub-national demographic change in the United States in the near, middle- and long-term.","The Georeferenced U.S. County-Level Population Projections, Total and by Sex, Race and Age dataset provides county population projections for the US essential for understanding long-term demographic changes, planning for the future, and decision-making in a variety of applications.",United States,"Shapefile, Excel",,,,2020-01-01 to 2100-12-31,,https://dx.doi.org/10.7927/dv72-s254,POPDYNAMICS - Population Dynamics,100-year temporal extent,Projections based on original publishing date,SEDAC Map widget,Path B,Food Availability,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2039248970-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global 1-km Downscaled Urban Land Extent Projection and Base Year Grids by SSP Scenarios, v1 (2000 – 2100)","Food Availability,Human Dimensions","The Global 1-km Downscaled Urban Land Extent Projection and Base Year Grids by SSP Scenarios, 2000-2100 consists of global SSP-consistent spatial urban land fraction data for the base year 2000 and projections at ten-year intervals for 2010-2100 at a resolution of 1-km (about 30 arc-seconds). An algorithm was developed and validated to downscale the 1/8-degree resolution data set to 1-km resolution. For a given decade, the downscaling algorithm allocates the 1/8-degree decadal amount of urban land expansion to 1-km grid cells in proportion to their total urban land amounts at the beginning of the decade.","The Global 1-km Downscaled Urban Land Extent Projection and Base Year Grids by SSP Scenarios dataset provides urban land projections based on the Shared Socioeconomic Pathways (SSPs) data. These data are useful in socioeconomic, environmental, and urban sprawl research.",Global,"GeoTIFF, netCDF-4",1 kilometer,1 kilometer,,2000-01-01 to 2100-12-31,,https://dx.doi.org/10.7927/1z4r-ez63,SSP - Shared Socioeconomic Pathways,Includes projections for up to year 2100,Projections based on original publishing date,SEDAC Map widget,Path B,Food Availability,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2161983020-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global 15 x 15 Minute Grids of the Downscaled GDP Based on the SRES B2 Scenario, v1 (1990, 2025)",Human Dimensions,"The Global 15x15 Minute Grids of the Downscaled Population Based on the Special Report on Emissions Scenarios (SRES) B2 Scenario, 1990 and 2025, are geospatial distributions of the downscaled population per unit area (population densities). These global grids were generated using the Country-level Population and Downscaled Projections Based on the SRES B2 Scenario, 1990-2100 data set, and CIESIN's Gridded Population of World, Version 2 (GPWv2) data set as the base map. The 1990 GPW was used as the base distribution and the country-level downscaled projections were used to replace population estimates of 1990 in GPW and 2025. The fractional distribution of the population at each grid cell is the same as the 1990 GPW, sub-nationally. This data set is produced and distributed by the Columbia University Center for International Earth Science Information Network (CIESIN).","The Global 15 x 15 Minute Grids of the Downscaled GDP Based on the SRES B2 Scenario, v1 (1990, 2025) dataset provides Gross Domestic Product (GDP) estimates globally as well as projections for smaller scale areas within countries. These data may help estimate poverty and economic growth and success.",Global,"ASCII, PDF, PNG",15 degrees,1700 kilometers,,"1990, 2025",,https://doi.org/10.7927/H4HQ3WTH,SDP - Socioeconomic Downscaled Projections,Global coverage,Projections based on original publishing date,,Path B,Human Dimensions,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC179001925-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global 3-Year Running Mean Ground-Level Nitrogen Dioxide (NO2) Grids from GOME, SCIAMACHY and GOME-2","Climate Change,Health & Air Quality","The Global 3-Year Running Mean Ground-Level Nitrogen Dioxide (NO2) Grids from GOME, SCIAMACHY and GOME-2 represent a series of three-year running mean grids (1996-2012) of ground level NO2 that were derived from Global Ozone Monitoring Experiment (GOME), SCanning Imaging Absorption SpectroMeter for Atmospheric CHartographY (SCIAMACHY) and Global Ozone Monitoring Experiment-2 (GOME-2) satellite retrievals. For each satellite-derived NO2 source, the relationship between satellite observations of tropospheric NO2 column densities and the NO2 concentrations at ground level relevant to human exposure is simulated, using the Goddard Earth Observing System chemical transport model (GEOS-Chem) to produce a mean NO2 concentration raster grid. The grid cell resolution is six arc-minutes (0.1 degree, or approximately 10 km at the equator) covering the global land surface.","The Global 3-Year Running Mean Ground-Level Nitrogen Dioxide (NO2) Grids from GOME, SCIAMACHY and GOME-2 represent a series of three-year running mean grids (1996-2012) of ground level NO2 that were derived from Global Ozone Monitoring Experiment (GOME), SCanning Imaging Absorption SpectroMeter for Atmospheric CHartographY (SCIAMACHY) and Global Ozone Monitoring Experiment-2 (GOME-2) satellite retrievals.",Global,"GeoTIFF, PDF, PNG, WMS",0.1 degrees,10 kilometers,,1996-01-01 to 2012-12-31,,https://doi.org/10.7927/H4JW8BTT,SDEI - Satellite-Derived Environmental Indicators,,"Lacks recent data, Large gap in dates, Only 4 years of data available",Worldview,Path B,Climate Change,Health & Air Quality,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1401421022-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Global Cyclone Proportional Economic Loss Risk Deciles,"Disasters,Human Dimensions","The Global Cyclone Proportional Economic Loss Risk Deciles is a 2.5 minute grid of cyclone hazard economic loss as proportions of Gross Domestic Product (GDP) per analytical unit. Estimates of GDP at risk are based on regional economic loss rates derived from historical records of the Emergency Events Database (EM-DAT). Loss rates are weighted by the hazard's frequency and distribution. The methodology of Sachs et al. (2003) is followed to determine baseline estimates of GDP per grid cell. To better reflect the confidence surrounding the data and procedures, the range of proportionalities is classified into deciles, 10 class of an approximately equal number of grid cells of increasing risk. This data set is the result of collaboration among the Columbia University Center for Hazards and Risk Research (CHRR), International Bank for Reconstruction and Development/The World Bank, and Columbia University Center for International Earth Science Information Network (CIESIN).",The Global Cyclone Proportional Economic Loss Risk Deciles shows cyclone hazard economic loss as a proportion of Gross Domestic Product (GDP) of an area. The shown rates are calculated based on how often and to what extend the hazard of cyclones poses to area. These data can aid in tropical storm preparation and recovery research.,Global,"ASCII, PDF, PNG, WMS",0.0417 degrees,5 kilometers,,2000-01-01 to 2000-12-31,,https://doi.org/10.7927/H44F1NNF,NDH - Natural Disaster Hotspots,Visualization available through SEDAC Map widget,Limited temporal extent,https://sedac.ciesin.columbia.edu/data/set/ndh-cyclone-proportional-economic-loss-risk-deciles/maps,Path B,Human Dimensions,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC179001767-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Global Cyclone Total Economic Loss Risk Deciles,"Disasters,Human Dimensions","The Global Cyclone Total Economic Loss Risk Deciles is a 2.5 minute grid of global cyclone total economic loss risks. A process of spatially allocating Gross Domestic Product (GDP) based upon the Sachs et al. (2003) methodology is utilized. First the proportional contributions of subnational units to their respective national GDP are determined using sources of various origins. The contribution rates are then applied to published World Bank Development Indicators to determine a GDP value for the subnational unit. Once the national GDP is spatially stratified into the smallest administrative units available, GDP values for grid cells are derived using population distribution data. A per capita contribution value is determined within each subnational unit, and this value is multiplied by the population per grid cell as determined from Gridded Population of the World, Version 3 (GPWv3) data. Once a GDP value is determined on a per grid cell basis, then the regionally variable loss rate, as derived from the historical records of EM-DAT, is used to determine the total economic loss risks posed to a grid cell by cyclone hazards. The final surface does not present absolute values of total economic loss, but rather a relative decile (1-10 with increasing risk) ranking of grid cells based upon the calculated economic loss risks. This data set is the result of collaboration among the Columbia University Center for Hazards and Risk Research (CHRR), International Bank for Reconstruction and Development/The World Bank, and Columbia University Center for International Earth Science Information Network (CIESIN).",The Global Cyclone Proportional Economic Loss Risk Deciles shows the total global cyclone economic loss using the Gross Domestic Product (GDP) of an area. The economic loss is assigned a decile or rank (1-10) based on how often and to what extend the hazard of cyclones poses to area. These data can aid in tropical storm preparation and recovery research.,Global,"ASCII, DBF, PDF, PNG, WMS",0.0417 degrees,5 kilometers,,2000-01-01 to 2000-12-31,,https://doi.org/10.7927/H40P0WXQ,NDH - Natural Disaster Hotspots,Visualization available through SEDAC Map widget,Limited temporal extent,https://sedac.ciesin.columbia.edu/data/set/ndh-cyclone-total-economic-loss-risk-deciles/maps,Path B,Human Dimensions,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC179001764-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
